sentence,relation,entities,sentence_no_tags
The Banko <e1>kilns</e1> were founded by the <e2>potter</e2> Nunami Ro-zan (1718-77) who often imitated the work of Kenzan (1663-1743).,16,"['kilns', 'potter']",The Banko kilns were founded by the potter Nunami Ro-zan (1718-77) who often imitated the work of Kenzan (1663-1743).
"To create a good seal, manufacturers put a foam- or gel-filled seal between the <e1>ear</e1> <e2>cup</e2> and your head.",18,"['ear', 'cup']","To create a good seal, manufacturers put a foam- or gel-filled seal between the ear cup and your head."
"By foot on the trail, or by canoe on the river, our <e1>campers</e1> have journeyed into some spectacular <e2>wilderness</e2>.",6,"['campers', 'wilderness']","By foot on the trail, or by canoe on the river, our campers have journeyed into some spectacular wilderness."
The research <e1>team</e1> is moving into a deeper <e2>cave</e2> to explore.,6,"['team', 'cave']",The research team is moving into a deeper cave to explore.
"The electron <e1>beam</e1> arrives from the left <e2>side</e2>, is collimated by 1cm thick copper and traverses the light tight sensor box.",8,"['beam', 'side']","The electron beam arrives from the left side, is collimated by 1cm thick copper and traverses the light tight sensor box."
"Real working cowboys, who are hired to take a <e1>drove</e1> of <e2>cattle</e2> to market, have a very difficult and strenuous job.",13,"['drove', 'cattle']","Real working cowboys, who are hired to take a drove of cattle to market, have a very difficult and strenuous job."
A file photo shows a microlight <e1>pilot</e1> flying with <e2>geese</e2>.,18,"['pilot', 'geese']",A file photo shows a microlight pilot flying with geese.
It was a <e1>cloud</e1> of shrieking black <e2>bats</e2> that was attacking them.,13,"['cloud', 'bats']",It was a cloud of shrieking black bats that was attacking them.
The <e1>initiative</e1> was outlined in a <e2>speech</e2> delivered by Saudi Crown Prince Abdullah on Wednesday.,15,"['initiative', 'speech']",The initiative was outlined in a speech delivered by Saudi Crown Prince Abdullah on Wednesday.
The teacher retirement poem on parchment is a customized <e1>poem</e1> printed on parchment and enclosed in a black <e2>certificate holder</e2>.,4,"['poem', 'certificate holder']",The teacher retirement poem on parchment is a customized poem printed on parchment and enclosed in a black certificate holder.
"A letter penned by George Washington praising the new Constitution sold for $3.2 million at an auction, the highest price for a <e1>letter</e1> by America's first <e2>president</e2>.",16,"['letter', 'president']","A letter penned by George Washington praising the new Constitution sold for $3.2 million at an auction, the highest price for a letter by America's first president."
He poured his <e1>passion</e1> into his <e2>lover</e2>.,6,"['passion', 'lover']",He poured his passion into his lover.
"Their <e1>deed</e1> of agreement was drawn up in the temple by a notary <e2>public</e2> and confirmed with an oath ""by god and the king.""",18,"['deed', 'public']","Their deed of agreement was drawn up in the temple by a notary public and confirmed with an oath ""by god and the king."""
And the <e1>chorus</e1> of teenage <e2>boys</e2> and girls were a pleasure to watch as they sang and danced.,13,"['chorus', 'boys']",And the chorus of teenage boys and girls were a pleasure to watch as they sang and danced.
"For 25 years, Christmas in New Bern has included a <e1>flotilla</e1> of decorated <e2>boats</e2> gliding along the confluence of the Neuse and Trent rivers at Union Point Park.",13,"['flotilla', 'boats']","For 25 years, Christmas in New Bern has included a flotilla of decorated boats gliding along the confluence of the Neuse and Trent rivers at Union Point Park."
"Taking a stick of dynamite from their mule, the <e1>shooter</e1> assembles the hand-charge with two <e2>caps</e2> and fuses - which is now considered live.",11,"['shooter', 'caps']","Taking a stick of dynamite from their mule, the shooter assembles the hand-charge with two caps and fuses - which is now considered live."
A man is facing charges after police pulled him from a tank under a women's <e1>toilet</e1> that was filled with human <e2>waste</e2>.,5,"['toilet', 'waste']",A man is facing charges after police pulled him from a tank under a women's toilet that was filled with human waste.
"A jack-knifed <e1>lorry</e1> caused <e2>delays</e2> on the A27 eastbound between Havant, Hampshire, and Chichester, West Sussex.",0,"['lorry', 'delays']","A jack-knifed lorry caused delays on the A27 eastbound between Havant, Hampshire, and Chichester, West Sussex."
"<e1>Viruses</e1> that cause respiratory <e2>illness</e2> typically are capable of causing a range of clinical manifestations, and asymptomatic infections are possible.",0,"['Viruses', 'illness']","Viruses that cause respiratory illness typically are capable of causing a range of clinical manifestations, and asymptomatic infections are possible."
"Nutritious <e1>chocolate</e1> is made of <e2>cocoa paste</e2>, cocoa butter, and sugar.",8,"['chocolate', 'cocoa paste']","Nutritious chocolate is made of cocoa paste, cocoa butter, and sugar."
The <e1>list</e1> highlighted the best new music <e2>talent</e2> for the new year.,14,"['list', 'talent']",The list highlighted the best new music talent for the new year.
They cremated their dead and placed the <e1>ashes</e1> in a specially prepared <e2>pit</e2>.,6,"['ashes', 'pit']",They cremated their dead and placed the ashes in a specially prepared pit.
The <e1>door locks</e1> with a sliding <e2>bar</e2> hidden in the carved piece across the center of the door.,3,"['door locks', 'bar']",The door locks with a sliding bar hidden in the carved piece across the center of the door.
"Officials got a warning from the victim's son: his 87-year-old father was a ""hoarder"" and the <e1>house</e1> was full of <e2>items</e2>.",5,"['house', 'items']","Officials got a warning from the victim's son: his 87-year-old father was a ""hoarder"" and the house was full of items."
The <e1>door</e1> on the right enclosed a fumigating <e2>chamber</e2>.,2,"['door', 'chamber']",The door on the right enclosed a fumigating chamber.
I found the secret <e1>passages</e1> inside the <e2>Monastery</e2>.,2,"['passages', 'Monastery']",I found the secret passages inside the Monastery.
The drama unfolded even after some of the <e1>stars</e1> had left the <e2>course</e2>.,8,"['stars', 'course']",The drama unfolded even after some of the stars had left the course.
Their whole <e1>future</e1> is being thrown into <e2>disarray</e2>.,18,"['future', 'disarray']",Their whole future is being thrown into disarray.
The announced <e1>plans</e1> absolutely take into account the <e2>needs</e2> of disabled people.,14,"['plans', 'needs']",The announced plans absolutely take into account the needs of disabled people.
The newly inaugurated president has delivered <e1>speeches</e1> to the <e2>public</e2>.,6,"['speeches', 'public']",The newly inaugurated president has delivered speeches to the public.
The inherent RNA silencing <e1>mechanism</e1> in plants has been effectively manipulated as a tool for the targeted <e2>down-regulation</e2> of genes.,18,"['mechanism', 'down-regulation']",The inherent RNA silencing mechanism in plants has been effectively manipulated as a tool for the targeted down-regulation of genes.
"The neighbor, who owns a <e1>raisin</e1> <e2>factory</e2>, wanted the property to expand his business.",16,"['raisin', 'factory']","The neighbor, who owns a raisin factory, wanted the property to expand his business."
"His <e1>wife</e1>, a successful corporate lawyer, has given up <e2>work</e2>.",18,"['wife', 'work']","His wife, a successful corporate lawyer, has given up work."
The board <e1>meeting</e1> is rescheduled to <e2>next month</e2>.,6,"['meeting', 'next month']",The board meeting is rescheduled to next month.
"The <e1>craftsman</e1> bought his own <e2>iron</e2>, finished his hinge Ls, packed them, and conveyed them to the warehouse of the factor in the large town.",11,"['craftsman', 'iron']","The craftsman bought his own iron, finished his hinge Ls, packed them, and conveyed them to the warehouse of the factor in the large town."
Three lines are missing from the end of this stanza; the <e1>hermit</e1> demonstrates his prowess with the <e2>bow</e2>.,11,"['hermit', 'bow']",Three lines are missing from the end of this stanza; the hermit demonstrates his prowess with the bow.
Old pickups and SUVs were stacked up in clunker <e1>piles</e1> by <e2>dealers</e2>.,16,"['piles', 'dealers']",Old pickups and SUVs were stacked up in clunker piles by dealers.
"In this method, <e1>multiword concepts</e1> are treated as <e2>single words</e2>.",18,"['multiword concepts', 'single words']","In this method, multiword concepts are treated as single words."
"He made his way inside, where the <e1>jewelry</e1> was locked in a <e2>safe</e2> for the night.",4,"['jewelry', 'safe']","He made his way inside, where the jewelry was locked in a safe for the night."
"Franken's <e1>uncle</e1>, who was in the Russian army, liberated Auschwitz with Barry's <e2>uncle</e2>.",18,"['uncle', 'uncle']","Franken's uncle, who was in the Russian army, liberated Auschwitz with Barry's uncle."
The Free States of Alaska is a loose <e1>confederation</e1> of various <e2>species</e2> of bears in the far northern lands and outlands of Megatexas.,13,"['confederation', 'species']",The Free States of Alaska is a loose confederation of various species of bears in the far northern lands and outlands of Megatexas.
